,Visited
2018-06-16,395282
2018-06-17,258097
2018-06-18,327282
2018-06-19,514070
2018-06-20,515430
2018-06-21,383379
2018-06-22,449891
2018-06-23,474960
2018-06-24,515590
2018-06-25,286611
2018-06-26,215215
2018-06-27,356121
2018-06-28,389503
2018-06-29,491611
2018-06-30,369013
2018-07-01,393218
2018-07-02,455212
2018-07-03,471581
2018-07-04,343412
2018-07-05,383341
2018-07-06,371543
2018-07-07,308761
2018-07-08,418068
2018-07-09,573970
2018-07-10,308859
2018-07-11,494013
2018-07-12,383767
2018-07-13,460525
2018-07-14,396457
2018-07-15,367203
2018-07-16,347243
2018-07-17,560842
2018-07-18,454812
2018-07-19,497377
2018-07-20,635398
2018-07-21,402132
2018-07-22,592603
2018-07-23,288951
2018-07-24,199613
2018-07-25,383119
2018-07-26,249416
2018-07-27,659205
2018-07-28,436354
2018-07-29,336469
2018-07-30,439263
2018-07-31,208726
2018-08-01,433852
2018-08-02,695147
2018-08-03,177373
2018-08-04,245488
2018-08-05,488120
2018-08-06,441420
2018-08-07,132387
2018-08-08,492325
2018-08-09,514807
2018-08-10,316818
2018-08-11,410350
2018-08-12,568929
2018-08-13,406011
2018-08-14,441005
2018-08-15,447437
2018-08-16,554225
2018-08-17,621328
2018-08-18,475667
2018-08-19,601690
2018-08-20,609023
2018-08-21,472401
2018-08-22,495714
2018-08-23,307972
2018-08-24,422470
2018-08-25,277675
2018-08-26,492912
2018-08-27,347563
2018-08-28,399616
2018-08-29,144902
2018-08-30,349773
2018-08-31,503355
2018-09-01,554883
2018-09-02,455383
2018-09-03,503005
2018-09-04,632971
2018-09-05,440476
2018-09-06,372203
2018-09-07,208889
2018-09-08,306538
2018-09-09,325028
2018-09-10,270112
2018-09-11,500162
2018-09-12,305846
2018-09-13,180782
2018-09-14,724390
2018-09-15,417336
2018-09-16,482563
2018-09-17,79330
2018-09-18,545548
2018-09-19,625590
2018-09-20,342239
2018-09-21,438050
2018-09-22,472949
2018-09-23,372595
2018-09-24,239757
2018-09-25,503554
2018-09-26,361327
2018-09-27,389307
2018-09-28,401180
2018-09-29,414607
2018-09-30,451463
2018-10-01,282162
2018-10-02,267663
2018-10-03,241440
2018-10-04,377790
2018-10-05,601856
2018-10-06,284143
2018-10-07,398895
2018-10-08,449002
2018-10-09,416640
2018-10-10,474441
2018-10-11,407664
2018-10-12,325535
2018-10-13,348185
2018-10-14,348863
2018-10-15,370655
2018-10-16,497193
2018-10-17,314977
2018-10-18,332241
2018-10-19,531028
2018-10-20,429708
2018-10-21,490479
2018-10-22,497555
2018-10-23,426121
2018-10-24,454356
2018-10-25,266462
2018-10-26,326049
2018-10-27,374547
2018-10-28,423456
2018-10-29,349781
2018-10-30,525269
2018-10-31,583932
2018-11-01,389487
2018-11-02,530826
2018-11-03,416746
2018-11-04,290735
2018-11-05,430330
2018-11-06,414516
2018-11-07,222257
2018-11-08,324213
2018-11-09,367234
2018-11-10,426553
2018-11-11,464168
2018-11-12,290696
2018-11-13,595072
2018-11-14,390903
2018-11-15,426779
2018-11-16,250509
2018-11-17,431862
2018-11-18,591136
2018-11-19,345642
2018-11-20,480913
2018-11-21,320338
2018-11-22,417933
2018-11-23,221808
2018-11-24,423603
2018-11-25,435418
2018-11-26,465234
2018-11-27,405995
2018-11-28,482958
2018-11-29,590446
2018-11-30,582120
2018-12-01,431861
2018-12-02,291724
2018-12-03,435191
2018-12-04,364016
2018-12-05,658216
2018-12-06,406538
2018-12-07,592362
2018-12-08,303585
2018-12-09,379468
2018-12-10,231460
2018-12-11,400347
2018-12-12,374356
2018-12-13,467447
2018-12-14,400420
2018-12-15,448355
2018-12-16,344021
2018-12-17,347581
2018-12-18,451098
2018-12-19,445956
2018-12-20,465042
2018-12-21,509355
2018-12-22,440960
2018-12-23,417617
2018-12-24,503374
2018-12-25,341425
2018-12-26,558658
2018-12-27,331064
2018-12-28,293253
2018-12-29,262908
2018-12-30,300017
2018-12-31,390983
2019-01-01,222297
2019-01-02,285893
2019-01-03,357794
2019-01-04,297961
2019-01-05,434782
2019-01-06,401321
2019-01-07,395642
2019-01-08,400031
2019-01-09,557957
2019-01-10,265682
2019-01-11,352407
2019-01-12,467467
2019-01-13,421313
2019-01-14,456715
2019-01-15,310858
2019-01-16,471189
2019-01-17,417078
2019-01-18,373435
2019-01-19,405292
2019-01-20,355351
2019-01-21,622599
2019-01-22,532972
2019-01-23,460783
2019-01-24,351558
2019-01-25,492625
2019-01-26,455358
2019-01-27,570816
2019-01-28,499313
2019-01-29,411445
2019-01-30,216868
2019-01-31,321046
2019-02-01,585938
2019-02-02,266598
2019-02-03,682293
2019-02-04,443092
2019-02-05,606519
2019-02-06,430598
2019-02-07,551958
2019-02-08,472163
2019-02-09,503745
2019-02-10,567110
2019-02-11,529610
2019-02-12,429015
2019-02-13,393258
2019-02-14,368070
2019-02-15,511352
2019-02-16,310064
2019-02-17,542051
2019-02-18,517206
2019-02-19,492560
2019-02-20,348538
2019-02-21,310875
2019-02-22,491673
2019-02-23,533641
2019-02-24,342662
2019-02-25,325437
2019-02-26,508890
2019-02-27,349489
2019-02-28,556342
2019-03-01,406698
2019-03-02,409093
2019-03-03,337563
2019-03-04,396665
2019-03-05,305127
2019-03-06,454298
2019-03-07,292603
2019-03-08,469618
2019-03-09,370362
2019-03-10,264315
2019-03-11,330376
2019-03-12,421512
2019-03-13,437825
2019-03-14,288825
2019-03-15,479171
2019-03-16,376246
2019-03-17,524833
2019-03-18,409895
2019-03-19,304362
