,Visited
2018-07-16,45794
2018-07-17,48665
2018-07-18,48698
2018-07-19,47823
2018-07-20,45772
2018-07-21,46645
2018-07-22,48567
2018-07-23,50837
2018-07-24,49205
2018-07-25,46617
2018-07-26,43365
2018-07-27,46614
2018-07-28,46734
2018-07-29,46135
2018-07-30,44322
2018-07-31,44265
2018-08-01,48376
2018-08-02,53214
2018-08-03,50922
2018-08-04,52377
2018-08-05,48606
2018-08-06,56576
2018-08-07,51661
2018-08-08,52290
2018-08-09,57395
2018-08-10,52811
2018-08-11,53728
2018-08-12,56219
2018-08-13,56978
2018-08-14,56278
2018-08-15,56410
2018-08-16,56857
2018-08-17,52009
2018-08-18,55324
2018-08-19,53794
2018-08-20,49177
2018-08-21,50818
2018-08-22,53254
2018-08-23,50145
2018-08-24,50648
2018-08-25,50467
2018-08-26,50538
2018-08-27,48389
2018-08-28,53377
2018-08-29,48351
2018-08-30,46344
2018-08-31,49209
2018-09-01,39020
2018-09-02,38547
2018-09-03,42164
2018-09-04,38386
2018-09-05,42451
2018-09-06,46767
2018-09-07,44896
2018-09-08,47843
2018-09-09,47823
2018-09-10,44462
2018-09-11,50669
2018-09-12,55373
2018-09-13,50902
2018-09-14,52560
2018-09-15,55932
2018-09-16,53885
2018-09-17,54209
2018-09-18,56604
2018-09-19,57017
2018-09-20,57614
2018-09-21,58031
2018-09-22,56528
2018-09-23,55214
2018-09-24,53350
2018-09-25,58758
2018-09-26,57933
2018-09-27,60216
2018-09-28,57678
2018-09-29,55820
2018-09-30,56960
2018-10-01,67529
2018-10-02,68254
2018-10-03,68488
2018-10-04,68151
2018-10-05,72149
2018-10-06,68204
2018-10-07,78214
2018-10-08,72213
2018-10-09,79460
2018-10-10,80335
2018-10-11,80306
2018-10-12,83321
2018-10-13,79202
2018-10-14,77934
2018-10-15,80574
2018-10-16,87186
2018-10-17,88601
2018-10-18,82391
2018-10-19,87325
2018-10-20,79230
2018-10-21,86880
2018-10-22,86094
2018-10-23,83420
2018-10-24,82591
2018-10-25,80153
2018-10-26,82228
2018-10-27,90086
2018-10-28,88352
2018-10-29,86024
2018-10-30,88828
2018-10-31,81737
2018-11-01,88634
2018-11-02,109640
2018-11-03,105256
2018-11-04,98386
2018-11-05,116807
2018-11-06,106233
2018-11-07,104830
2018-11-08,112101
2018-11-09,113543
